Course Number,Course Name,ECTS Points,Placement,Course Type
01002,Matematik 1b ,10,Forår,Polyteknisk Grundlag
02402,Statistik ,5,"E3A (tirs 8-12), F4A (tirs 13-17)",Polyteknisk Grundlag
02403,Introduktion til matematisk statistik,5,Juni,Polyteknisk Grundlag
10060,Fysik ,10,Forår og Efterår,Polyteknisk Grundlag
26020,Kemi ,5,E1A (man 8-12),Polyteknisk Grundlag
26022,Kemi ,5,August,Polyteknisk Grundlag
26021,Kemi ,5,F5A (ons 8-12),Polyteknisk Grundlag
27020,Bioengineering ,5,E2A (man 13-17) og F2A (man 13-17),Polyteknisk Grundlag
42620,"Videnskab, Teknologi og Samfund ",5,"Januar, Juni",Polyteknisk Grundlag
42622,"Videnskab, Teknologi og Samfund ",5,August,Polyteknisk Grundlag
